,Property Address,Property Area,Property Type,Property Link,Image Links,Property Description,Key Features,Agent Names,Agent Mails,Agent Contacts,Property File Link
0,"726 London Road, Thurrock, Grays, Essex, RM20 3NL","89,506 Sq Ft (8,315.11 Sq M)",TO LET,https://propertysearch.altusgroup.com/property/details/2132/726-London-Road-Thurrock-Grays-Essex-RM20-3NL-Industrial/Warehouse-,https://altuscrm.agencypilot.com/crm/store/marketstatus/14.png;https://altuscrm.agencypilot.com/crm/store/property/320+9688_web.jpg;https://altuscrm.agencypilot.com/crm/store/property/320+9687_web.jpg;https://altuscrm.agencypilot.com/crm/store/property/320+9690_web.jpg;https://altuscrm.agencypilot.com/crm/store/property/320+9686_web.jpg;https://altuscrm.agencypilot.com/crm/store/property/320+9689_web.jpg,"TO LET - EXISTING SELF CONTAINED WAREHOUSE / DISTRIBUTION UNIT AVAILABLE ON A NEW FLEXIBLE LEASE. The unit is strategically located close to Junction 1 (1.5 miles) and Junction 30 (2 miles) of the M25, which connects with the A13 providing easy access to Central London to the west and the Ports of Tilbury and London Gateway to the east. The site is 1.4 miles from the Intu Lakeside Shopping Centre and the QE2 Dartford Bridge, which provides numerous retail and leisure amenity and is 1.4 miles from Chafford Hundred Station.",4 minute drive from M25;Internal eaves height 6.61-9.17m;3 level access doors;18 dock level doors;38 car parking spaces;Secure site,STEVE RICHMOND;TOM BOOKER,mailto:stephen.richmond@altusgroup.com;mailto:tom.booker@altusgroup.com,tel:07771 900682;tel:07584 237141,https://propertysearch.altusgroup.com/umbraco/Surface/PropertySurface/ViewFile?docKey=7577_vqmtp58fosmn40xo&filename=Thurrock%20-%20Valor%20Park%2C%20726%20London%20Road%20brochure.pdf
1,"Units, 19 & 20, Manford Industrial Estate, Manor Road, Erith, Kent, DA8 2AJ","2,505 - 5,012 Sq Ft (232.71 - 465.61 Sq M)",TO LET,https://propertysearch.altusgroup.com/property/details/2131/Units-19-and-20-Manford-Industrial-Estate-Manor-Road-Erith-Kent-DA8-2AJ-Industrial/Warehouse-,https://altuscrm.agencypilot.com/crm/store/property/320+9683_web.jpg;https://altuscrm.agencypilot.com/crm/store/property/320+9684_web.jpg;https://altuscrm.agencypilot.com/crm/store/marketstatus/14.png;https://altuscrm.agencypilot.com/crm/store/property/320+9685_web.jpg,"TO LET - MODERN REFURBISHED WAREHOUSE/INDUSTRIAL UNITS. Can be combined or let Separately. This modern unit is located on the established Manford Industrial Estate on Manor Road in the main industrial area of Erith. The Estate has excellent road connections providing immediate access onto Thames Road (A206) to Dartford and the M25 to the east and onto Bronze Age Way (A2016) to South East London and the Blackwall Tunnel to the west. Erith is located approximately 3 miles from Junction 1A of the M25, 12.5 miles east of Central London and 5 miles east of Woolwich. Erith town centre with its local amenities is less than a mile away.","Located within 3 miles Junction 1A M25;New security gates to Estate;On site CCTV;All mains services are provided, including gas and 3 phase electricity;5m eaves;6 car spaces for each unit",CHRIS BIRCH;STEVE RICHMOND,mailto:chris.birch@altusgroup.com;mailto:stephen.richmond@altusgroup.com,tel:07976 681951;tel:07771 900682,https://propertysearch.altusgroup.com/umbraco/Surface/PropertySurface/ViewFile?docKey=7575_2h96ts0wss677vtb&filename=Erith%20-%20Manford%20Industrial%20Estate%20Unit%2019%20%2021.pdf
2,"Unit E Panorama, Bridge Close, Crossways Business Park, Dartford, Kent, DA2 6QP","5,030 Sq Ft (467.29 Sq M)",TO LET,https://propertysearch.altusgroup.com/property/details/2130/Unit-E-Panorama-Bridge-Close-Crossways-Business-Park-Dartford-Kent-DA2-6QP-Industrial/Warehouse-,https://altuscrm.agencypilot.com/crm/store/marketstatus/14.png;https://altuscrm.agencypilot.com/crm/store/property/320+9682_web.jpg;https://altuscrm.agencypilot.com/crm/store/property/320+9680_web.jpg;https://altuscrm.agencypilot.com/crm/store/property/320+9679_web.jpg;https://altuscrm.agencypilot.com/crm/store/property/320+9681_web.jpg;https://altuscrm.agencypilot.com/crm/store/property/320+9678_web.jpg,"TO LET - INDUSTRIAL/WAREHOUSE. Panorama is located on Bridge Close, within Crossways Business Park, overlooking the River Thames with views of the iconic QE2 bridge. Crossways Business Park is situated adjacent to the M25 which provides access to the M2, M20, A2, A20 and A13.",8m clear internal height;Fitted first floor office;37.5kN sq m floor loading;Full height electric loading doors;Landscaped environment;Comfort cooling;EV charging provision;Secure cycle parking,STEWART SMITH;STEVE RICHMOND,mailto:stewart.smith@altusgroup.com;mailto:stephen.richmond@altusgroup.com,tel:07841460308;tel:07771 900682,https://propertysearch.altusgroup.com/umbraco/Surface/PropertySurface/ViewFile?docKey=7574_416927q6vw113435&filename=Dartford%20-%20Unit%20E%20Panorama.pdf
3,"Various Units at Blueprint, Church Manorway, Erith, Kent, DA8 1DG","19,924 - 32,346 Sq Ft (1,850.94 - 3,004.94 Sq M)",TO LET,https://propertysearch.altusgroup.com/property/details/2129/Various-Units-at-Blueprint-Church-Manorway-Erith-Kent-DA8-1DG-Industrial/Warehouse-,https://altuscrm.agencypilot.com/crm/store/marketstatus/14.png;https://altuscrm.agencypilot.com/crm/store/property/320+9674_web.jpg;https://altuscrm.agencypilot.com/crm/store/property/320+9677_web.jpg;https://altuscrm.agencypilot.com/crm/store/property/320+9676_web.jpg;https://altuscrm.agencypilot.com/crm/store/property/320+9673_web.jpg;https://altuscrm.agencypilot.com/crm/store/property/320+9675_web.jpg,"TO LET - 4 INDUSTRIAL / WAREHOUSE UNITS FROM 19,924 - 32,346 SQ FT WITH OPTION TO COMBINE - AVAILABLE Q1 2023. Centrally located within the M25 ring round, Blueprint Erith is the perfect logistics hub for urban distributors looking to enhance their operations. Located within the Borough of Bexley, which has a population of almost 250,000 residents Blueprint Erith is an ideal last mile location providing easy access to the M25, Central London and transport links across rail, air and sea.","50KN/M2 floor loading;Up to 7.5KN/M2 mezzanine floor loading;Up to 32m yard depth;Secure gated yards;EPC A;12m eaves height;24 hour access;Solar panels capable of up to 6,800 KWH PA;Net zero carbon construction;BREEAM 'very good'",STEWART SMITH;STEVE RICHMOND,mailto:stewart.smith@altusgroup.com;mailto:stephen.richmond@altusgroup.com,tel:07841460308;tel:07771 900682,https://propertysearch.altusgroup.com/umbraco/Surface/PropertySurface/ViewFile?docKey=7571_qr979ril620ltv87&filename=Erith%20-%20Blueprint%2C%20Church%20Manorway.pdf
4,"Various Units, Click Aylesford, Springett Close, Eccles, Aylesford, Kent, ME20 7SN","13,691 - 302,844 Sq Ft (1,271.89 - 28,134.21 Sq M)",TO LET,https://propertysearch.altusgroup.com/property/details/2036/Various-Units-Click-Aylesford-Springett-Close-Eccles-Aylesford-Kent-ME20-7SN-Industrial/Warehouse-,https://altuscrm.agencypilot.com/crm/store/marketstatus/14.png;https://altuscrm.agencypilot.com/crm/store/property/320+9669_web.jpg;https://altuscrm.agencypilot.com/crm/store/property/320+9672_web.jpg;https://altuscrm.agencypilot.com/crm/store/property/320+9671_web.jpg;https://altuscrm.agencypilot.com/crm/store/property/320+9668_web.jpg;https://altuscrm.agencypilot.com/crm/store/property/320+9670_web.jpg;https://altuscrm.agencypilot.com/crm/store/property/320+9178_web.jpg,"TO LET - GRADE A WAREHOUSE / INDUSTRIAL UNITS - AVAILABLE Q1 2024. Click Aylesford is a 20 acre site adjacent to Junction 5 of the M20. The site is situated in a key location, being just 16 miles away from Junction 3 of the M25. The site is close to local amenities, including South Aylesford Retail Park and is only a short drive from Aylesford railway station.","Over 300,000 sq ft of high specification buildings adjacent to J5/M20;Contemporary designed buildings flooded with natural light;BREEAM excellent and EPC A+ across all buildings",STEVE RICHMOND;TOM BOOKER,mailto:stephen.richmond@altusgroup.com;mailto:tom.booker@altusgroup.com,tel:07771 900682;tel:07584 237141,https://propertysearch.altusgroup.com/umbraco/Surface/PropertySurface/ViewFile?docKey=7570_l1e0b5472811kx2h&filename=Aylesford%20-%20Click-Aylesford-brochure-full.pdf
5,"Unit 6, Click Aylesford, Springett Close, Eccles, Aylesford, Kent, ME20 7SN","15,823 Sq Ft (1,469.96 Sq M)",TO LET,https://propertysearch.altusgroup.com/property/details/2046/Unit-6-Click-Aylesford-Springett-Close-Eccles-Aylesford-Kent-ME20-7SN-Industrial/Warehouse-,https://altuscrm.agencypilot.com/crm/store/property/320+9667_web.jpg;https://altuscrm.agencypilot.com/crm/store/property/320+9663_web.jpg;https://altuscrm.agencypilot.com/crm/store/property/320+9664_web.jpg;https://altuscrm.agencypilot.com/crm/store/marketstatus/8.png;https://altuscrm.agencypilot.com/crm/store/property/320+9665_web.jpg;https://altuscrm.agencypilot.com/crm/store/property/320+9205_web.jpg;https://altuscrm.agencypilot.com/crm/store/property/320+9666_web.jpg,"TO LET - GRADE A WAREHOUSE / INDUSTRIAL UNITS - AVAILABLE Q1 2024. Click Aylesford is a 20 acre site adjacent to Junction 5 of the M20. The site is situated in a key location, being just 16 miles away from Junction 3 of the M25. The site is close to local amenities, including South Aylesford Retail Park and is only a short drive from Aylesford railway station.",2 level access doors;PV roof panels;Up to 10m eaves height;Power 150KVA;Yard depth of 30m;20% EV charging points;25 parking spaces,STEVE RICHMOND;TOM BOOKER,mailto:stephen.richmond@altusgroup.com;mailto:tom.booker@altusgroup.com,tel:07771 900682;tel:07584 237141,https://propertysearch.altusgroup.com/umbraco/Surface/PropertySurface/ViewFile?docKey=7568_k758032339b45wc8&filename=Aylesford%20-%20Click-Aylesford-brochure-full.pdf
6,"Unit 5, Click Aylesford, Springett Close, Eccles, Aylesford, Kent, ME20 7SN","13,691 Sq Ft (1,271.89 Sq M)",TO LET,https://propertysearch.altusgroup.com/property/details/2045/Unit-5-Click-Aylesford-Springett-Close-Eccles-Aylesford-Kent-ME20-7SN-Industrial/Warehouse-,https://altuscrm.agencypilot.com/crm/store/property/320+9660_web.jpg;https://altuscrm.agencypilot.com/crm/store/property/320+9661_web.jpg;https://altuscrm.agencypilot.com/crm/store/property/320+9202_web.jpg;https://altuscrm.agencypilot.com/crm/store/property/320+9659_web.jpg;https://altuscrm.agencypilot.com/crm/store/marketstatus/8.png;https://altuscrm.agencypilot.com/crm/store/property/320+9662_web.jpg;https://altuscrm.agencypilot.com/crm/store/property/320+9658_web.jpg,"TO LET - GRADE A WAREHOUSE / INDUSTRIAL UNITS - AVAILABLE Q1 2024. Click Aylesford is a 20 acre site adjacent to Junction 5 of the M20. The site is situated in a key location, being just 16 miles away from Junction 3 of the M25. The site is close to local amenities, including South Aylesford Retail Park and is only a short drive from Aylesford railway station.",1 level access door;PV roof panels;Up to 10m eaves height;Power 125KVA;Yard depths of 27m;20% EV charging points;20 parking spaces,STEVE RICHMOND;TOM BOOKER,mailto:stephen.richmond@altusgroup.com;mailto:tom.booker@altusgroup.com,tel:07771 900682;tel:07584 237141,https://propertysearch.altusgroup.com/umbraco/Surface/PropertySurface/ViewFile?docKey=7567_r3tp5wiv5yjn3g65&filename=Aylesford%20-%20Click-Aylesford-brochure-full.pdf
7,"Unit 4, Click Aylesford, Springett Close, Eccles, Aylesford, Kent, ME20 7SN","51,161 Sq Ft (4,752.86 Sq M)",TO LET,https://propertysearch.altusgroup.com/property/details/2044/Unit-4-Click-Aylesford-Springett-Close-Eccles-Aylesford-Kent-ME20-7SN-Industrial/Warehouse-,https://altuscrm.agencypilot.com/crm/store/marketstatus/14.png;https://altuscrm.agencypilot.com/crm/store/property/320+9656_web.jpg;https://altuscrm.agencypilot.com/crm/store/property/320+9657_web.jpg;https://altuscrm.agencypilot.com/crm/store/property/320+9654_web.jpg;https://altuscrm.agencypilot.com/crm/store/property/320+9655_web.jpg;https://altuscrm.agencypilot.com/crm/store/property/320+9653_web.jpg;https://altuscrm.agencypilot.com/crm/store/property/320+9199_web.jpg,"TO LET - GRADE A WAREHOUSE / INDUSTRIAL UNITS - AVAILABLE Q1 2024. Click Aylesford is a 20 acre site adjacent to Junction 5 of the M20. The site is situated in a key location, being just 16 miles away from Junction 3 of the M25. The site is close to local amenities, including South Aylesford Retail Park and is only a short drive from Aylesford railway station.",2 dock levellers;3 level access doors;PV roof panels;Up to 12m eaves height;Power 400 KVA;Yard depths of 14-60m;20% EV charging points;54 parking spaces,STEVE RICHMOND;TOM BOOKER,mailto:stephen.richmond@altusgroup.com;mailto:tom.booker@altusgroup.com,tel:07771 900682;tel:07584 237141,https://propertysearch.altusgroup.com/umbraco/Surface/PropertySurface/ViewFile?docKey=7566_n2b36ayz432lx5it&filename=Aylesford%20-%20Click-Aylesford-brochure-full.pdf
8,"Unit 3, Click Aylesford, Springett Close, Eccles, Aylesford, Kent, ME20 7SN","64,444 Sq Ft (5,986.85 Sq M)",TO LET,https://propertysearch.altusgroup.com/property/details/2043/Unit-3-Click-Aylesford-Springett-Close-Eccles-Aylesford-Kent-ME20-7SN-Industrial/Warehouse-,https://altuscrm.agencypilot.com/crm/store/property/320+9649_web.jpg;https://altuscrm.agencypilot.com/crm/store/marketstatus/14.png;https://altuscrm.agencypilot.com/crm/store/property/320+9196_web.jpg;https://altuscrm.agencypilot.com/crm/store/property/320+9652_web.jpg;https://altuscrm.agencypilot.com/crm/store/property/320+9648_web.jpg;https://altuscrm.agencypilot.com/crm/store/property/320+9650_web.jpg;https://altuscrm.agencypilot.com/crm/store/property/320+9651_web.jpg,"TO LET - GRADE A WAREHOUSE / INDUSTRIAL UNITS - AVAILABLE Q1 2024. Click Aylesford is a 20 acre site adjacent to Junction 5 of the M20. The site is situated in a key location, being just 16 miles away from Junction 3 of the M25. The site is close to local amenities, including South Aylesford Retail Park and is only a short drive from Aylesford railway station.",3 dock levellers;3 level access doors;PV roof panels;Up to 12m eaves height;Power 575KVA;Yard depth of 42m;20% EV charging points;70 parking spaces,STEVE RICHMOND;TOM BOOKER,mailto:stephen.richmond@altusgroup.com;mailto:tom.booker@altusgroup.com,tel:07771 900682;tel:07584 237141,https://propertysearch.altusgroup.com/umbraco/Surface/PropertySurface/ViewFile?docKey=7565_r9u72334uiue13y1&filename=Aylesford%20-%20Click-Aylesford-brochure-full.pdf
9,"Unit 2, Click Aylesford, Springett Close, Eccles, Aylesford, Kent, ME20 7SN","110,557 Sq Ft (10,270.75 Sq M)",TO LET,https://propertysearch.altusgroup.com/property/details/2042/Unit-2-Click-Aylesford-Springett-Close-Eccles-Aylesford-Kent-ME20-7SN-Industrial/Warehouse-,https://altuscrm.agencypilot.com/crm/store/marketstatus/14.png;https://altuscrm.agencypilot.com/crm/store/property/320+9647_web.jpg;https://altuscrm.agencypilot.com/crm/store/property/320+9193_web.jpg;https://altuscrm.agencypilot.com/crm/store/property/320+9643_web.jpg;https://altuscrm.agencypilot.com/crm/store/property/320+9645_web.jpg;https://altuscrm.agencypilot.com/crm/store/property/320+9646_web.jpg;https://altuscrm.agencypilot.com/crm/store/property/320+9644_web.jpg,"TO LET - GRADE A WAREHOUSE / INDUSTRIAL UNITS - AVAILABLE Q1 2024. Click Aylesford is a 20 acre site adjacent to Junction 5 of the M20. The site is situated in a key location, being just 16 miles away from Junction 3 of the M25. The site is close to local amenities, including South Aylesford Retail Park and is only a short drive from Aylesford railway station.",7 dock levellers;4 level access doors;PV roof panels;Up to 15m eaves height;Power 750KVA;Yard depth of 45m;20% EV charging points;114 parking spaces,STEVE RICHMOND;TOM BOOKER,mailto:stephen.richmond@altusgroup.com;mailto:tom.booker@altusgroup.com,tel:07771 900682;tel:07584 237141,https://propertysearch.altusgroup.com/umbraco/Surface/PropertySurface/ViewFile?docKey=7564_dlq6927t00uc01sg&filename=Aylesford%20-%20Click-Aylesford-brochure-full.pdf
